epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
79,7381.43,0.54174,0.35216,0.0193,0.04756,0.97083,0.9515,0.98539,0.94372,0.34904,0.18663,0.02784,0.03486,0.000253086,0.000253086,0.000253086
80,7483.92,0.54187,0.37709,0.01947,0.04474,0.96245,0.97295,0.98628,0.94708,0.33492,0.17802,0.02853,0.03332,0.000242087,0.000242087,0.000242087
81,7589.95,0.51818,0.35024,0.0187,0.0429,0.97112,0.97044,0.98672,0.94575,0.34895,0.17575,0.02844,0.0338,0.000231088,0.000231088,0.000231088
82,7697.2,0.52944,0.35472,0.01863,0.04488,0.96847,0.96827,0.98626,0.94563,0.34902,0.18289,0.0282,0.03567,0.000220089,0.000220089,0.000220089
83,7803.79,0.51959,0.34335,0.01928,0.0417,0.9688,0.96404,0.98633,0.94574,0.34182,0.17796,0.02799,0.03502,0.00020909,0.00020909,0.00020909
84,7910.27,0.52138,0.35795,0.01886,0.04121,0.975,0.96788,0.98685,0.94804,0.34337,0.1739,0.02817,0.03648,0.000198091,0.000198091,0.000198091
85,8018.02,0.50399,0.34037,0.01809,0.03994,0.96502,0.97079,0.98649,0.94646,0.34226,0.17238,0.02804,0.03656,0.000187092,0.000187092,0.000187092
86,8124.33,0.53132,0.35762,0.0192,0.04308,0.97246,0.96662,0.98723,0.9492,0.33759,0.16868,0.02797,0.03557,0.000176094,0.000176094,0.000176094
87,8224.19,0.51012,0.32848,0.01897,0.04242,0.96922,0.96615,0.98671,0.94884,0.33867,0.17352,0.02794,0.03513,0.000165095,0.000165095,0.000165095
88,8324.45,0.50131,0.33595,0.01822,0.04056,0.95779,0.9802,0.98625,0.94783,0.34564,0.17026,0.02825,0.03794,0.000154096,0.000154096,0.000154096
89,8424.07,0.52368,0.35306,0.01904,0.04551,0.96324,0.97259,0.98721,0.94822,0.34188,0.17066,0.02834,0.03473,0.000143097,0.000143097,0.000143097
90,8524.37,0.51686,0.33982,0.01914,0.04376,0.96883,0.96822,0.9874,0.95001,0.34052,0.17179,0.02841,0.0345,0.000132098,0.000132098,0.000132098
91,8623.84,0.32096,0.19597,0.01991,0.03178,0.96531,0.97183,0.98736,0.94836,0.34752,0.17248,0.02839,0.03415,0.000121099,0.000121099,0.000121099
92,8722.3,0.32717,0.19841,0.01974,0.03152,0.97324,0.96629,0.98653,0.94727,0.34297,0.17314,0.02829,0.03347,0.0001101,0.0001101,0.0001101
93,8820.54,0.31951,0.19085,0.01945,0.02869,0.97519,0.96653,0.9865,0.94727,0.34786,0.17274,0.02837,0.0351,9.91012e-05,9.91012e-05,9.91012e-05
94,8918.65,0.31774,0.19361,0.02015,0.02756,0.97071,0.97094,0.98555,0.94639,0.34561,0.17108,0.02848,0.03432,8.81023e-05,8.81023e-05,8.81023e-05
95,9017.54,0.31876,0.19418,0.02017,0.03154,0.96691,0.96941,0.9855,0.94835,0.33512,0.17022,0.02825,0.03281,7.71034e-05,7.71034e-05,7.71034e-05
96,9111.13,0.32865,0.18786,0.01978,0.03393,0.96612,0.96779,0.98582,0.94768,0.33852,0.17144,0.02824,0.03273,6.61045e-05,6.61045e-05,6.61045e-05
97,9205.09,0.32119,0.18785,0.02062,0.03154,0.96202,0.97513,0.98655,0.95007,0.33482,0.17035,0.02826,0.03315,5.51056e-05,5.51056e-05,5.51056e-05
98,9298.64,0.32322,0.20138,0.02037,0.02916,0.9652,0.97425,0.98642,0.94825,0.33407,0.17172,0.02833,0.03314,4.41067e-05,4.41067e-05,4.41067e-05
99,9392.6,0.31918,0.18836,0.02017,0.03048,0.96211,0.97434,0.9866,0.94921,0.33824,0.16959,0.02849,0.03331,3.31078e-05,3.31078e-05,3.31078e-05
100,9486.02,0.31623,0.18485,0.01999,0.02973,0.96941,0.96866,0.98643,0.94926,0.33785,0.17066,0.02852,0.03324,2.21089e-05,2.21089e-05,2.21089e-05
